Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Gams;9473;00;5382;Gams;3272;SG;99.65%;9.440927722271423;47.205593502679356;de;01.07.2008
Gams;9473;00;5382;Sennwald;3274;SG;0.35%;9.471943618724081;47.21952696522305;de;01.07.2008
Sevelen;9475;00;5384;Sevelen;3275;SG;100%;9.486565010835077;47.12343205201923;de;01.07.2008
Weite;9476;00;5385;Wartau;3276;SG;99.87%;9.496152746938408;47.091974794956236;de;01.07.2008
Weite;9476;00;5385;Sevelen;3275;SG;0.13%;9.492296140873222;47.10994081516451;de;01.07.2008
Fontnas;9476;02;7374;Wartau;3276;SG;100%;9.489263128691706;47.09028043242193;de;01.07.2008
Trübbach;9477;00;5386;Wartau;3276;SG;100%;9.480004339771206;47.07342120876445;de;01.07.2008
Azmoos;9478;00;5387;Wartau;3276;SG;100%;9.474782113285755;47.079830533675825;de;01.07.2008
Oberschan;9479;00;5388;Wartau;3276;SG;100%;9.474133289773906;47.09880972115981;de;01.07.2008
Malans SG;9479;01;7788;Wartau;3276;SG;100%;9.477281753921842;47.091519527688625;de;01.07.2008
Gretschins;9479;02;7787;Wartau;3276;SG;100%;9.485463362632629;47.09703371961795;de;01.07.2008
Nendeln;9485;00;5389;Eschen;7007;;99.05%;9.543432409619518;47.19742086787401;de;01.07.2008
Nendeln;9485;00;5389;Gamprin;7009;;0.95%;9.547856273789934;47.195783215908754;de;01.07.2008
Schaanwald;9486;00;5390;Mauren;7008;;100%;9.561899480130817;47.212000212538385;de;01.07.2008
Gamprin-Bendern;9487;00;5391;Gamprin;7009;;99.50%;9.511345682406667;47.220038948620555;de;01.07.2008
Gamprin-Bendern;9487;00;5391;Eschen;7007;;0.33%;9.503241330613807;47.19681682132635;de;01.07.2008
Gamprin-Bendern;9487;00;5391;Vaduz;7001;;0.17%;9.508388885447923;47.193143735537255;de;01.07.2008
Schellenberg;9488;00;5392;Schellenberg;7011;;100%;9.544095394669148;47.230341025093054;de;01.07.2008
Vaduz;9490;00;5393;Vaduz;7001;;100%;9.517518684;47.14312169;de;01.07.2008
Ruggell;9491;00;5394;Ruggell;7010;;100%;9.525921023188028;47.23884192782902;de;01.07.2008
Eschen;9492;00;5395;Eschen;7007;;100%;9.521554434;47.21224252701621;de;01.07.2008
Mauren FL;9493;00;5396;Mauren;7008;;99.55%;9.543692116400583;47.21910106674389;de;01.07.2008
Mauren FL;9493;00;5396;Eschen;7007;;0.45%;9.539750280238252;47.222637260738665;de;01.07.2008
Schaan;9494;00;5398;Schaan;7005;;99.66%;9.511658489820405;47.16648716240154;de;01.07.2008
Schaan;9494;00;5398;Vaduz;7001;;0.34%;9.509519194;47.18552021863961;de;01.07.2008
Triesen;9495;00;5399;Triesen;7002;;100%;9.527902654765077;47.109136785555016;de;01.07.2008
Balzers;9496;00;5400;Balzers;7003;;100%;9.502614851;47.06512560102509;de;01.07.2008
Triesenberg;9497;00;5401;Triesenberg;7004;;98.76%;9.548273215297403;47.118707417681314;de;01.07.2008
Triesenberg;9497;00;5401;Schaan;7005;;0.66%;9.594649318205724;47.122669570005385;de;01.07.2008
Triesenberg;9497;00;5401;Vaduz;7001;;0.59%;9.598778481789651;47.107384920036885;de;01.07.2008
Planken;9498;00;6047;Planken;7006;;100%;9.545240495876222;47.18534852497502;de;01.07.2008
Wil SG;9500;00;5403;Wil (SG);3427;SG;98.95%;9.048106473189383;47.46592717321339;de;01.07.2008
Wil SG;9500;00;5403;Zuzwil (SG);3426;SG;0.13%;9.072799036893688;47.467362162278796;de;01.07.2008
Wil SG;9500;00;5403;Kirchberg (SG);3392;SG;0.85%;9.053912381346658;47.44087354406809;de;01.07.2008
Wil SG;9500;00;5403;Münchwilen (TG);4746;TG;0.07%;9.027828974861539;47.46702615140357;de;01.07.2008
Braunau;9502;00;5407;Braunau;4723;TG;100%;9.070194317892053;47.50311254071738;de;01.07.2008
Stehrenberg;9503;00;5408;Bussnang;4921;TG;100%;9.089693466742549;47.52268986;de;01.07.2008
Lanterswil;9503;02;6351;Bussnang;4921;TG;100%;9.096679375065142;47.520574978954095;de;01.07.2008
Friltschen;9504;00;5409;Bussnang;4921;TG;100%;9.085202126;47.537605823422936;de;01.07.2008
Lommis;9506;00;5410;Lommis;4741;TG;100%;8.994470136163768;47.516658981125346;de;01.07.2008
Stettfurt;9507;00;5411;Stettfurt;4606;TG;100%;8.954087886443325;47.525425417656336;de;01.07.2008
Weingarten-Kalthäusern;9508;00;5413;Lommis;4741;TG;100%;8.983125460478341;47.52471795905954;de;01.07.2008
Rossrüti;9512;00;5414;Wil (SG);3427;SG;100%;9.062529764881832;47.476889497332024;de;01.07.2008
Wuppenau;9514;00;5415;Wuppenau;4791;TG;99.59%;9.104971953;47.49620303680807;de;01.07.2008
Wuppenau;9514;00;5415;Wil (SG);3427;SG;0.41%;9.088258259912688;47.484163061211206;de;01.07.2008
Hosenruck;9515;00;5416;Wuppenau;4791;TG;98.65%;9.127595186964943;47.49133213305326;de;01.07.2008
Hosenruck;9515;00;5416;Zuzwil (SG);3426;SG;1.35%;9.115690734646748;47.48000839725673;de;01.07.2008
Mettlen;9517;00;5420;Bussnang;4921;TG;100%;9.123411954150528;47.53188373584717;de;01.07.2008
Züberwangen;9523;00;5422;Zuzwil (SG);3426;SG;100%;9.091664938;47.46568173365403;de;01.07.2008
Zuzwil SG;9524;00;5423;Zuzwil (SG);3426;SG;98.21%;9.110189678086313;47.47513121105795;de;01.07.2008
Zuzwil SG;9524;00;5423;Wil (SG);3427;SG;0.96%;9.095737604741178;47.48058375835155;de;01.07.2008
Zuzwil SG;9524;00;5423;Niederhelfenschwil;3423;SG;0.83%;9.122446943717797;47.465399665042995;de;01.07.2008
Lenggenwil;9525;00;5424;Niederhelfenschwil;3423;SG;100%;9.148007589009895;47.475199344770104;de;01.07.2008
Zuckenriet;9526;00;5425;Niederhelfenschwil;3423;SG;100%;9.161303294701588;47.48504178729831;de;01.07.2008
Niederhelfenschwil;9527;00;5426;Niederhelfenschwil;3423;SG;100%;9.186285439961898;47.476327709109874;de;01.07.2008
Rickenbach b. Wil;9532;00;5427;Rickenbach (TG);4751;TG;97.05%;9.049438473901272;47.44858251403144;de;01.07.2008
Rickenbach b. Wil;9532;00;5427;Kirchberg (SG);3392;SG;2.25%;9.052396693440642;47.443800404024174;de;01.07.2008
Rickenbach b. Wil;9532;00;5427;Jonschwil;3405;SG;0.69%;9.063887972508905;47.43493132799629;de;01.07.2008
Kirchberg SG;9533;00;5428;Kirchberg (SG);3392;SG;100%;9.040250305;47.41252836880903;de;01.07.2008
Dietschwil;9533;01;9216;Kirchberg (SG);3392;SG;100%;9.016322161;47.42213235169115;de;01.04.2011
Gähwil;9534;00;5429;Kirchberg (SG);3392;SG;100%;9.002614304645485;47.39543878079512;de;01.07.2008
Wilen b. Wil;9535;00;5430;Wilen (TG);4786;TG;99.56%;9.034621003234768;47.45154071332448;de;01.07.2008
Wilen b. Wil;9535;00;5430;Rickenbach (TG);4751;TG;0.44%;9.038006219022591;47.44812048095696;de;01.07.2008
